code;value;year
PER;67.62810848;2020
MEX;67.2;2020
MDV;66.2;2020
SRB;66.11626144;2020
MDA;65.97954328;2020
GUY;65.95105985;2020
BLR;65.7518601;2020
PRY;65.17819422;2020
NAM;65.09591525;2020
CPV;64.7781709;2020
DOM;64.35620205;2020
ARM;64.2;2020
GHA;64.15816913;2020
BHR;63.88791154;2020
VNM;63.88539721;2020
WSM;63.29664856;2020
MKD;62.13086385;2020
BLZ;60.79466738;2020
SUR;60.12230683;2020
JAM;60.02494704;2020
KAZ;59.77010136;2020
CUB;59.22775698;2020
ALB;58.75381081;2020
MYS;57.56189553;2020
BWA;57.07123297;2020
BRN;56.60002752;2020
CYP;56.05796495;2020
MNE;55.46679468;2020
GRD;55.24684546;2020
SYC;54.67549774;2020
GRC;52.14869722;2020
ATG;52.06235185;2020
TTO;51.94514107;2020
MNG;51.93521252;2020
KWT;50.89927418;2020
BHS;49.86859356;2020
BGR;49.17165482;2020
OMN;47.99116057;2020
HUN;47.62085658;2020
ROU;46.65460149;2020
BRB;46.40725754;2020
HRV;46.09452118;2020
ARG;46.08795043;2020
PAN;45.98191489;2020
QAT;43.73987835;2020
CHL;42.51352691;2020
ITA;42.35313025;2020
LVA;42.31122746;2020
POL;41.02873392;2020
ESP;40.35163336;2020
CRI;40.18401785;2020
EST;38.52345451;2020
USA;38.27275828;2020
GBR;38.26047536;2020
SVK;38.2218146;2020
ARE;38.09922512;2020
MUS;37.18472003;2020
LTU;36.47089084;2020
CZE;35.74161611;2020
MLT;33.5936458;2020
URY;33.40577735;2020
JPN;32.33228912;2020
KOR;32.01527343;2020
FRA;30.48111107;2020
BEL;27.09814467;2020
SGP;26.32619466;2020
SVN;25.84648022;2020
AUT;24.10870308;2020
PRT;23.51466331;2020
DEU;23.18848852;2020
NLD;22.85983519;2020
IRL;19.93941688;2020
AUS;19.74640886;2020
LUX;18.84924041;2020
CAN;18.66889851;2020
SWE;18.20920195;2020
NZL;17.87989629;2020
ISL;17.8;2020
DNK;17.21358668;2020
CHE;17.0940857;2020
NOR;16.19121049;2020
FIN;14.62666619;2020
YEM;113.5;2019
SOM;112.3;2019
SSD;112.2;2019
SYR;111.5;2019
COD;110.2;2019
CAF;108.9;2019
TCD;108.5;2019
SDN;108;2019
AFG;105;2019
ZWE;99.5;2019
GIN;99.4;2019
HTI;99.3;2019
IRQ;99.1;2019
NGA;98.5;2019
BDI;98.2;2019
CMR;97;2019
ERI;96.4;2019
NER;96.2;2019
GNB;95.5;2019
UGA;95.3;2019
MLI;94.5;2019
MMR;94.3;2019
PAK;94.2;2019
ETH;94.2;2019
KEN;93.5;2019
PRK;92.7;2019
COG;92.5;2019
LBY;92.2;2019
CIV;92.1;2019
LBR;90.2;2019
MRT;90.1;2019
VEN;89.3;2019
MOZ;88.7;2019
EGY;88.4;2019
AGO;87.8;2019
BGD;87.7;2019
RWA;87.5;2019
TGO;87.4;2019
SLE;86.8;2019
ZMB;85.7;2019
TLS;85.5;2019
SWZ;85.3;2019
DJI;85.1;2019
LBN;85;2019
NPL;84.7;2019
LKA;84;2019
BFA;83.9;2019
GMB;83.9;2019
MWI;83.3;2019
PNG;83.1;2019
PHL;83.1;2019
IRN;83;2019
GNQ;82.6;2019
KHM;82.5;2019
SLB;81.9;2019
COM;81.7;2019
GTM;81.4;2019
MDG;80.9;2019
TUR;80.3;2019
TZA;80.1;2019
LSO;79.7;2019
LAO;78.7;2019
NIC;78.1;2019
HND;77.8;2019
TJK;77.7;2019
SEN;77.2;2019
ISR;76.5;2019
KGZ;76.2;2019
JOR;75.9;2019
COL;75.7;2019
UZB;75.7;2019
DZA;75.4;2019
RUS;74.7;2019
IND;74.4;2019
BEN;73.6;2019
AZE;73.2;2019
THA;73.1;2019
MAR;73;2019
FSM;73;2019
BOL;72.9;2019
GEO;72;2019
BTN;72;2019
BRA;71.8;2019
FJI;71.7;2019
TKM;71.4;2019
BIH;71.3;2019
ECU;71.2;2019
STP;71.1;2019
CHN;71.1;2019
ZAF;71.1;2019
UKR;71;2019
GAB;70.5;2019
SAU;70.4;2019
IDN;70.4;2019
TUN;70.1;2019
SLV;69.8;2019
MDV;69.8;2019
MEX;69.7;2019
PER;68.2;2019
GUY;68.2;2019
BLR;68.2;2019
SRB;68;2019
MDA;67.1;2019
PRY;67;2019
ARM;66.7;2019
CPV;66.6;2019
NAM;66.4;2019
DOM;66.2;2019
VNM;66.1;2019
GHA;65.9;2019
MKD;64.6;2019
WSM;64.2;2019
BHR;63.8;2019
BLZ;62.5;2019
SUR;61.9;2019
KAZ;61.6;2019
JAM;61.2;2019
CUB;60.8;2019
MYS;60.5;2019
BWA;59.5;2019
ALB;58.9;2019
CYP;57.8;2019
GRD;57.6;2019
BRN;57.5;2019
MNE;55.3;2019
SYC;55.2;2019
ATG;54.4;2019
MNG;54.1;2019
GRC;53.9;2019
KWT;53.2;2019
TTO;53;2019
BGR;50.6;2019
OMN;50;2019
HUN;49.6;2019
BHS;48.8;2019
BRB;48;2019
ROU;47.8;2019
HRV;47.5;2019
PAN;47;2019
ARG;46;2019
QAT;45.4;2019
LVA;43.9;2019
ITA;43.8;2019
POL;42.8;2019
CRI;42;2019
EST;40.8;2019
ESP;40.7;2019
SVK;40.5;2019
ARE;40.1;2019
MUS;38.9;2019
CHL;38.9;2019
LTU;38.1;2019
USA;38;2019
CZE;37.6;2019
GBR;36.7;2019
MLT;34.5;2019
JPN;34.3;2019
URY;34;2019
KOR;33.7;2019
FRA;32;2019
BEL;28.6;2019
SGP;28.1;2019
SVN;28;2019
PRT;25.3;2019
AUT;25;2019
NLD;24.8;2019
DEU;24.7;2019
IRL;20.6;2019
LUX;20.4;2019
SWE;20.3;2019
NZL;20.1;2019
CAN;20;2019
ISL;19.8;2019
AUS;19.7;2019
DNK;19.5;2019
CHE;18.7;2019
NOR;18;2019
FIN;16.9;2019
SSD;113.3573152;2018
SOM;113.2007961;2018
YEM;112.6715038;2018
SYR;111.3930311;2018
CAF;111.1263446;2018
COD;110.6703648;2018
SDN;108.6631944;2018
TCD;108.3118705;2018
AFG;106.6207681;2018
ZWE;102.2937525;2018
IRQ;102.2056854;2018
HTI;101.9695521;2018
GIN;101.6167425;2018
NGA;99.90823161;2018
ETH;99.56909778;2018
GNB;98.09458991;2018
KEN;97.38051499;2018
BDI;97.36424028;2018
ERI;97.20823904;2018
PAK;96.33806006;2018
NER;96.15290344;2018
MMR;96.09231014;2018
CMR;95.31218119;2018
UGA;95.14379555;2018
LBY;94.6;2018
CIV;94.56151917;2018
MLI;93.58132106;2018
PRK;93.2;2018
COG;93.12762986;2018
LBR;92.56025079;2018
MRT;92.15282858;2018
BGD;90.31281723;2018
AGO;89.44029612;2018
